method,order,query_id,split,stop_step,budget_frac,stopped,ndcg,ndcg_vs_bm25,ndcg_vs_exhaustive,topk_overlap_vs_exhaustive,exact_topk_match,severe_harm,premature_stop_qrel_label,premature_instability_qrelfree
counterfactual_conservative,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,63,0.6,False,1.0,0.2772734273550481,0.0,0.8181818181818182,False,False,False,True
counterfactual_aggressive,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,31,0.29523809523809524,True,0.9669850519151657,0.24425847927021382,-0.033014948084834295,0.8181818181818182,False,False,True,True
simple_recent_stability,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,5,0.047619047619047616,True,0.7227265726449519,0.0,-0.2772734273550481,0.5384615384615384,False,False,True,True
fixed_0.05,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,5,0.047619047619047616,True,0.7227265726449519,0.0,-0.2772734273550481,0.5384615384615384,False,False,True,True
fixed_0.10,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,10,0.09523809523809523,True,0.8297197050122157,0.10699313236726382,-0.1702802949877843,0.42857142857142855,False,False,True,True
fixed_0.20,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,21,0.2,True,0.9560290452802053,0.2333024726352534,-0.04397095471979473,0.8181818181818182,False,False,True,True
exhaustive,random,eb3d1b885bfa800badfd79c6921a07d01491aedb,dev,105,1.0,True,1.0,0.2772734273550481,0.0,1.0,True,False,False,False
counterfactual_primary,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,34,0.3238095238095238,True,0.9318171001351273,0.1700153100147329,-0.05778912505202516,0.8181818181818182,False,False,True,True
counterfactual_conservative,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,48,0.45714285714285713,True,0.9378773695257355,0.17607557940534113,-0.05172885566141694,0.8181818181818182,False,False,True,True
counterfactual_aggressive,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,11,0.10476190476190476,True,0.7528479435844877,-0.008953846535906695,-0.23675828160266477,0.6666666666666666,False,False,True,True
simple_recent_stability,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,8,0.0761904761904762,True,0.7528479435844877,-0.008953846535906695,-0.23675828160266477,0.6666666666666666,False,False,True,True
fixed_0.05,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,5,0.047619047619047616,True,0.7528479435844877,-0.008953846535906695,-0.23675828160266477,0.6666666666666666,False,False,True,True
fixed_0.10,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,10,0.09523809523809523,True,0.7528479435844877,-0.008953846535906695,-0.23675828160266477,0.6666666666666666,False,False,True,True
fixed_0.20,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,21,0.2,True,0.8062079522181139,0.044406162097719526,-0.18339827296903854,0.8181818181818182,False,False,True,True
exhaustive,random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,105,1.0,True,0.9896062251871525,0.22780443506675807,0.0,1.0,True,False,False,False
counterfactual_primary,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,31,0.29523809523809524,True,0.975788054854922,0.004895737244352216,-0.024211945145077962,0.8181818181818182,False,False,True,True
counterfactual_conservative,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,63,0.6,False,1.0,0.02910768238943018,0.0,1.0,True,False,False,False
counterfactual_aggressive,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,24,0.22857142857142856,True,0.975788054854922,0.004895737244352216,-0.024211945145077962,0.8181818181818182,False,False,True,True
simple_recent_stability,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,4,0.0380952380952381,True,0.9896062251871525,0.018713907576582645,-0.010393774812847534,0.8181818181818182,False,False,False,True
fixed_0.05,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,5,0.047619047619047616,True,0.9896062251871525,0.018713907576582645,-0.010393774812847534,0.8181818181818182,False,False,False,True
fixed_0.10,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,10,0.09523809523809523,True,0.9896062251871525,0.018713907576582645,-0.010393774812847534,0.6666666666666666,False,False,False,True
fixed_0.20,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,21,0.2,True,0.9818483242455303,0.010956006634960436,-0.018151675754469743,1.0,True,False,False,False
exhaustive,random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,105,1.0,True,1.0,0.02910768238943018,0.0,1.0,True,False,False,False
counterfactual_primary,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,36,0.34285714285714286,True,0.975788054854922,0.10699313236726382,-0.024211945145077962,0.8181818181818182,False,False,True,True
counterfactual_conservative,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,63,0.6,False,0.9818483242455303,0.11305340175787204,-0.018151675754469743,0.8181818181818182,False,False,False,True
counterfactual_aggressive,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,20,0.19047619047619047,True,0.9668342083190152,0.09803928583135701,-0.03316579168098477,1.0,True,False,False,False
simple_recent_stability,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,4,0.0380952380952381,True,0.8687949224876582,0.0,-0.13120507751234178,0.6666666666666666,False,False,True,True
fixed_0.05,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,5,0.047619047619047616,True,0.8687949224876582,0.0,-0.13120507751234178,0.6666666666666666,False,False,True,True
fixed_0.10,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,10,0.09523809523809523,True,0.8687949224876582,0.0,-0.13120507751234178,0.8181818181818182,False,False,True,True
fixed_0.20,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,21,0.2,True,0.9668342083190152,0.09803928583135701,-0.03316579168098477,1.0,True,False,False,False
exhaustive,random,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,test,105,1.0,True,1.0,0.13120507751234178,0.0,1.0,True,False,False,False
